[2019-09-06T14:18:22.924] [INFO] [src/index] - [GET]/
[2019-09-06T14:18:56.611] [INFO] [src/index] - [GET] /
[2019-09-06T14:18:56.821] [INFO] [src/index] - [GET] /favicon.ico
[2019-09-06T14:28:52.911] [INFO] [src/index] - [GET] /items
[2019-09-06T14:29:00.276] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:29:17.501] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:29:18.366] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:29:18.908] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:29:49.028] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:30:08.695] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:30:48.570] [INFO] [src/index] - [GET] /api/items
[2019-09-06T14:59:12.745] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:00:47.749] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:01:21.371] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:01:42.887] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:06:44.564] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:08:32.094] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:13:01.698] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:15:13.647] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:15:29.300] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:20:46.547] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:20:51.695] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:20:54.194] [INFO] [src/index] - [GET] /api/items
[2019-09-06T15:26:15.388] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:35:06.022] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:35:24.006] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:43:45.944] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:43:46.085] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:45:46.638] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:45:46.673] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:46:04.593] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:46:04.622] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:47:02.819] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:47:02.857] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:47:58.428] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:47:58.465] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:48:07.228] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:48:07.273] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:50:26.629] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:50:26.661] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:50:59.858] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:50:59.895] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:51:40.498] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:51:40.523] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:53:53.425] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:53:53.458] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:54:44.694] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:54:44.726] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:55:05.166] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:55:05.196] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:55:21.065] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:55:21.094] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:56:11.986] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:56:12.020] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:56:29.000] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:56:29.034] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T15:56:45.602] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T15:56:45.636] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T16:00:24.586] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T16:00:24.612] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T16:01:04.753] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T16:01:04.779] [INFO] [src/index] - [GET] /api/categories
[2019-09-06T16:01:13.043] [INFO] [src/index] - [GET] /api/jobs
[2019-09-06T16:01:13.072] [INFO] [src/index] - [GET] /api/categories
